iter	RMSE
0	0.1196042201
1	0.1103549431
2	0.1020415559
3	0.09505756028
4	0.08846034452
5	0.08264524633
6	0.07775482068
7	0.07344536509
8	0.06941870276
9	0.06609142309
10	0.06321736975
11	0.06079109645
12	0.0586602118
13	0.05679981744
14	0.05521311115
15	0.05395700892
16	0.05280045427
17	0.05186783257
18	0.05110652877
19	0.05033536927
20	0.04976716951
21	0.04930372051
22	0.04884472282
23	0.04843904691
24	0.04809809832
25	0.04781402311
26	0.04755786875
27	0.0473395296
28	0.04719095239
29	0.04702888461
30	0.0469135491
31	0.04678922877
32	0.04665636791
33	0.04655411444
34	0.04646024047
35	0.04638228187
36	0.04630567527
37	0.04623828637
38	0.04616424219
39	0.04609162419
40	0.0460218796
41	0.04597226008
42	0.045921956
43	0.0458874478
44	0.04586414893
45	0.04582931515
46	0.04579292317
47	0.04576521812
48	0.04572113257
49	0.04569084877
50	0.04566025441
51	0.04561267471
52	0.04557287959
53	0.04554113483
54	0.0455040028
55	0.04547902338
56	0.04545923535
57	0.04543692489
58	0.04541305919
59	0.04539529129
60	0.04537346723
61	0.04535171609
62	0.04533511968
63	0.04531027155
64	0.04526974263
65	0.04524146823
66	0.04522471356
67	0.04520347872
68	0.04517719464
69	0.04514952896
70	0.04513021956
71	0.04511847294
72	0.04509726709
73	0.04506579752
74	0.04505223662
75	0.04502583322
76	0.04501256192
77	0.04499456352
78	0.04497409132
79	0.04494982843
80	0.04491691245
81	0.04489615064
82	0.04487852536
83	0.04485221262
84	0.04483694935
85	0.04481328443
86	0.04479014196
87	0.04477220965
88	0.04474312712
89	0.04471935235
90	0.04469289444
91	0.04467563303
92	0.04465943867
93	0.04463464821
94	0.04461408469
95	0.04460152899
96	0.04459272068
97	0.04456411872
98	0.04453388996
99	0.04451502744
100	0.04447664984
101	0.04446201128
102	0.04443924588
103	0.04442044539
104	0.04439953811
105	0.0443809417
106	0.04435083144
107	0.04432151457
108	0.0442939992
109	0.04426194342
110	0.04423769849
111	0.04420570941
112	0.04417849136
113	0.04415539208
114	0.04413094597
115	0.04410085689
116	0.04408203688
117	0.04406052091
118	0.0440342739
119	0.04401673184
120	0.04399192588
121	0.04396321884
122	0.04394239663
123	0.04391788388
124	0.04388837248
125	0.04387106705
126	0.0438439687
127	0.04381099379
128	0.04377375827
129	0.04375886912
130	0.04373433974
131	0.04370602068
132	0.04368115453
133	0.04366346862
134	0.04364523411
135	0.0436294589
136	0.04360718097
137	0.04357755853
138	0.04355698949
139	0.04353535459
140	0.0435205092
141	0.04350939392
142	0.04349108264
143	0.0434651115
144	0.04345167465
145	0.04343316392
146	0.04340499355
147	0.04337383353
148	0.04335477769
149	0.04333256548
150	0.04331117493
151	0.04329894327
152	0.04327768232
153	0.04326351469
154	0.04324582501
155	0.04322828936
156	0.04321515377
157	0.04317937142
158	0.04314833491
159	0.04312324325
160	0.04310082442
161	0.04307131355
162	0.04305836962
163	0.04304006222
164	0.04301988957
165	0.04299828342
166	0.04297963203
167	0.0429636454
168	0.04293651101
169	0.04291094836
170	0.04288338358
171	0.04287373704
172	0.04285902233
173	0.04283695732
174	0.04281850221
175	0.0427960593
176	0.04276879514
177	0.04275056899
178	0.04271653892
179	0.04269628288
180	0.04267598168
181	0.04265776822
182	0.04264039822
183	0.04261700285
184	0.04258543374
185	0.04256377731
186	0.0425471697
187	0.0425305454
188	0.04251925982
189	0.0425056379
190	0.04249586498
191	0.04248240473
192	0.04245451608
193	0.04243658862
194	0.04240362591
195	0.04237378807
196	0.04235197363
197	0.04233924173
198	0.04232539955
199	0.04231004735
200	0.04227439322
201	0.04225391161
202	0.04224266659
203	0.04222855634
204	0.04221186217
205	0.04220295964
206	0.04217925289
207	0.04216433916
208	0.04215216032
209	0.04213835077
210	0.04210912553
211	0.04209288417
212	0.0420795286
213	0.04205961297
214	0.04204177078
215	0.04202658178
216	0.04200135065
217	0.04199027487
218	0.04196022922
219	0.04194531498
220	0.04193308695
221	0.0419189232
222	0.04190745693
223	0.04188246186
224	0.04186050037
225	0.04184022385
226	0.04182440955
227	0.04181337898
228	0.04180132177
229	0.04178501751
230	0.0417667424
231	0.0417494383
232	0.04172971484
233	0.04172145873
234	0.04170435777
235	0.04169475964
236	0.04168346013
237	0.04166511295
238	0.04162930838
239	0.04161592918
240	0.04160556337
241	0.04158250422
242	0.0415593582
243	0.04154237677
244	0.04153019727
245	0.04151520613
246	0.04149188294
247	0.04146874596
248	0.04144663357
249	0.04142417378
250	0.04139960226
251	0.04138514506
252	0.04136591837
253	0.04134179866
254	0.04133032564
255	0.04131606885
256	0.04129705714
257	0.04128264806
258	0.04126502023
259	0.04125243496
260	0.04124121605
261	0.04123139569
262	0.04121917112
263	0.04120056859
264	0.04118296755
265	0.04117254084
266	0.04115167376
267	0.04113228315
268	0.04112549637
269	0.04110855613
270	0.04109856371
271	0.04107908975
272	0.04107156729
273	0.04105200669
274	0.04103011767
275	0.04101354623
276	0.04099346064
277	0.04097462263
278	0.04095734585
279	0.04094242809
280	0.04092595612
281	0.04090109404
282	0.04087977504
283	0.04084672079
284	0.04083019131
285	0.04080595832
286	0.04079077101
287	0.04077388956
288	0.04076138453
289	0.04075377591
290	0.04073746033
291	0.04072174388
292	0.04069580437
293	0.04067579539
294	0.04066299627
295	0.04063652565
296	0.04062334308
297	0.04060301947
298	0.04058597917
299	0.04057591468
300	0.04056728891
301	0.04053141557
302	0.04051362098
303	0.04050397145
304	0.0404923548
305	0.0404794467
306	0.04046622922
307	0.0404516103
308	0.04044018207
309	0.0404261153
310	0.04041727191
311	0.04040789792
312	0.04039720887
313	0.04038717814
314	0.0403784558
315	0.04036755209
316	0.04035581614
317	0.04034505855
318	0.04034001433
319	0.04033018405
320	0.04032251311
321	0.0403107951
322	0.04029935869
323	0.04028889896
324	0.04027172108
325	0.0402577356
326	0.04024173854
327	0.04022040648
328	0.0402073127
329	0.04019223546
330	0.04018405165
331	0.04017447325
332	0.04017045611
333	0.04015004971
334	0.04012632983
335	0.04010608626
336	0.04008884242
337	0.04007146117
338	0.04005456067
339	0.0400388476
340	0.04002240903
341	0.04001495447
342	0.04000940449
343	0.04000167104
344	0.0399854523
345	0.03996763308
346	0.03996046045
347	0.03994508713
348	0.03993591577
349	0.03992913766
350	0.03991453273
351	0.0398983428
352	0.03988424816
353	0.03987276104
354	0.03986431935
355	0.03985295755
356	0.03983870625
357	0.03981315887
358	0.03980046684
359	0.0397873232
360	0.03977868915
361	0.03977379183
362	0.03976382645
363	0.03975239226
364	0.03973404602
365	0.03971502806
366	0.03970621062
367	0.03969665438
368	0.03968664086
369	0.03967536095
370	0.03966646329
371	0.03965066031
372	0.03964435679
373	0.03962947062
374	0.03961337197
375	0.03959483073
376	0.03958164861
377	0.03957052372
378	0.03955508957
379	0.03954255289
380	0.03952281506
381	0.03951094775
382	0.03949799805
383	0.03948536323
384	0.03945920166
385	0.0394475437
386	0.0394350295
387	0.03942159382
388	0.03940546465
389	0.03938484166
390	0.03937566137
391	0.03936715544
392	0.03935439776
393	0.03934687954
394	0.03933047447
395	0.03931519795
396	0.03929492729
397	0.03928027042
398	0.03927291788
399	0.0392606276
400	0.039246877
401	0.03923555933
402	0.03922026106
403	0.03921204875
404	0.03920100396
405	0.03919062634
406	0.03917952576
407	0.03916483601
408	0.03914449499
409	0.03912980457
410	0.03911666296
411	0.03910570723
412	0.03908549653
413	0.03907586134
414	0.03905069437
415	0.03904186991
416	0.03902348187
417	0.03901207427
418	0.0390080616
419	0.038997746
420	0.03898872693
421	0.03897794384
422	0.03896595428
423	0.03895367351
424	0.03894705766
425	0.03893574507
426	0.0389221743
427	0.03891204126
428	0.03889542443
429	0.03888890439
430	0.03887246082
431	0.03886027915
432	0.03885606369
433	0.03884856176
434	0.03883593112
435	0.03882113209
436	0.03880498509
437	0.03879186837
438	0.03878408719
439	0.03877551774
440	0.03876938034
441	0.03876040098
442	0.03875326802
443	0.03873777852
444	0.03872473274
445	0.03870961426
446	0.0387005601
447	0.03867901009
448	0.03866540272
449	0.03865566717
450	0.03864432352
451	0.03862731383
452	0.03861396317
453	0.03860036919
454	0.03858896403
455	0.0385699965
456	0.03855736883
457	0.03853796632
458	0.03852389821
459	0.03850294603
460	0.03849137358
461	0.03847995371
462	0.03847098397
463	0.03846133287
464	0.03844901845
465	0.03843573305
466	0.03842752031
467	0.03841602002
468	0.03840334705
469	0.03839199723
470	0.03837804957
471	0.03836645877
472	0.03835616367
473	0.03834723409
474	0.03833576866
475	0.03832301112
476	0.03831196617
477	0.03829919366
478	0.03828787119
479	0.03827914068
480	0.03826809023
481	0.03825296639
482	0.03823207834
483	0.03822512004
484	0.03822064141
485	0.03820933214
486	0.03819907064
487	0.03818461434
488	0.03817030465
489	0.03815311101
490	0.03814006834
491	0.03812566351
492	0.03811568808
493	0.03809678277
494	0.03808379911
495	0.03807135158
496	0.03806082434
497	0.03804868156
498	0.0380381035
499	0.0380258909
